,country,cor,p,from,until,supposedDatapoint,realDatapoint,numOfMissingValue,realDataPoint,cor_depression,p_depression,cor_drug_disorder,p_drug_disorder,cor_smoke,p_smoke,cor_gdp,p_gdp,cor_gini,p_gini,cor_sex_ratio,p_ratio,cor_population_density,p_population_density,cor_wage,p_wage,cor_unemployment,p_unemployment,cor_elder,p_elder
31,TFYR Macedonia,-0.545694276,0.007073009,1991,2013,23,,0,23,0.6345401562127029,0.00037819507502042906,-0.5186494961271844,0.0055760019408073605,0.260924243,0.197932601,-0.619837636,0.000564184,-0.147655641,0.780126146,-0.006545128000000001,0.976354925,,,,,,,-0.03524025486804073,0.8731721391273666
32,Slovakia,-0.555385818,0.007289983000000001,1992,2014,23,,1,22,0.917868371439198,1.0463295351348242e-10,-0.20225251886199505,0.33226612037753234,0.841207176,9.39e-07,-0.790529107,1.0500000000000001e-10,0.284550457,0.396397192,,,,,,,,,,
33,Greece,0.019526677,0.908674797,1979,2015,37,,0,37,-0.25439051052222705,0.20037175545920066,0.627801181138177,0.0004554281386262128,-0.152203304,0.397792275,-0.21140128600000002,0.202631594,0.847110067,0.000257542,-0.873897074,6e-10,-0.2028887005616712,0.221834282989598,-0.4703323247301183,0.027177001536753755,0.7740243590000001,2.17e-06,0.4740351906219179,0.009382113631451456
34,Armenia,-0.580538063,0.00049517,1981,2016,36,,4,32,-0.4816944018359506,0.01095661102439914,-0.17979533245077084,0.3695157757333396,0.276640605,0.119115829,-0.392016569,0.043139264000000004,-0.10097253199999999,0.6997949,,,0.4886558012703141,0.0018529028189127946,,,,,,
35,Georgia,-0.588155346,0.000792085,1981,2015,35,,6,29,-0.1951953008153012,0.32921359686400953,0.35689489516636835,0.06763320403382089,0.479772948,0.004722497,-0.11280810699999999,0.575326134,-0.11344974099999999,0.624386303,,,0.3825707217548536,0.017763363120125015,,,-0.333868514,0.08876043800000001,,
36,Israel,-0.631263305,2.8000000000000003e-05,1979,2015,37,,0,37,0.3808953800535724,0.049978819988584514,-0.5339161853299227,0.004125461277878226,0.538637511,0.001221299,-0.665813601,5.07e-06,-0.781738403,0.012823848999999998,0.43216730299999995,0.019220398,-0.6776825498913637,2.9582958862543693e-06,,,0.649817832,0.000244109,-0.7736689532169125,8.569458018437227e-07
37,Iceland,-0.271707496,0.108927409,1981,2016,36,,0,36,0.1517219092477944,0.4499758879995428,-0.22804655071230395,0.2526038553605017,0.35617338,0.041908041,-0.31370639699999997,0.055117901,-0.240559563,0.45136178,-0.080914939,0.670796045,-0.28726039540621884,0.0803417390768348,-0.12399861499833288,0.5377538600206986,-0.19533682300000002,0.328856128,0.018538826162107457,0.922539905878162
38,Latvia,-0.645670878,2.11e-05,1980,2015,36,,0,36,0.9045151948427904,9.66465246017205e-11,0.1840669747383441,0.3580592129363637,-0.215932005,0.227467895,-0.88236465,5.59e-08,-0.8065100620000001,0.000280709,0.725413993,8.5e-06,0.6787791758295657,2.811097252760759e-06,-0.8844618712325524,1.0345443781138086e-07,0.653519278,0.000218751,-0.6441825256589694,0.00016255115404983111
39,Netherlands,-0.656574024,7.59e-06,1979,2016,38,,0,38,0.2391080735536281,0.2296849459473908,0.6737485265961312,0.00011694791484745691,0.6675658329999999,2.2e-05,-0.700284783,9.87e-07,-0.540979086,0.069331405,0.281582028,0.131696474,-0.6888766480545812,1.7389950661187768e-06,-0.0796600007745838,0.6928666616689367,0.6847041840000001,8.159999999999999e-05,0.05824873181924128,0.7597991613347924
40,Jamaica,0.41750149,0.067012797,1980,2011,32,,12,20,-0.26015339843943336,0.19001569041494604,0.487221274286271,0.00994919994601923,-0.487142654,0.004038013,0.567274033,0.00020412400000000003,-0.437897572,0.325777136,0.34082091,0.213824973,0.5439310154956096,0.00041597786032124035,,,-0.291406386,0.140274912,0.5258258190608053,0.044089610302895474
41,Japan,0.232913757,0.165350942,1979,2015,37,,0,37,-0.008824999090615512,0.9651539702249552,0.03291933783779734,0.8705155343383719,-0.350782119,0.045338567999999996,-0.003608695,0.982844875,,,-0.556681031,0.0017107589999999998,0.1813635312250043,0.2758359702379123,0.4070263758535752,0.03510839168056036,0.7996931070000001,5.6e-07,0.5631647865612307,0.0014688839981159946
42,Kazakhstan,-0.103402455,0.56689069,1981,2015,35,,2,33,0.3941527719795014,0.04191483994034132,0.5393225291047483,0.003695530948114369,-0.541730823,0.001129701,-0.7129328090000001,2.9999999999999997e-05,0.759488255,0.000642755,-0.027981283,0.885434472,-0.6692028163543127,4.358586949770104e-06,,,0.8326587409999999,7.16e-08,-0.1313473840301837,0.4970329697060874
43,Turkmenistan,-0.7349812990000001,1.11e-06,1981,2015,35,,2,33,0.7406874832379667,9.962896584636689e-06,-0.8146142654652717,2.320630001555069e-07,0.503398151,0.00282369,-0.865483491,6.710000000000001e-10,,,-0.025487597,0.8955866490000001,-0.7903909380374634,3.587130895405777e-09,,,-0.010812025,0.9573144659999999,-0.7545232507773916,2.2653711318344866e-06
44,Estonia,-0.7463407759999999,6.15e-07,1981,2015,35,,2,33,0.8913433973863024,4.5169144298992184e-10,-0.7342406863448511,1.3028567899896945e-05,0.181211483,0.312864786,-0.8999477490000001,1.1899999999999999e-08,0.7850605190000001,0.000880009,-0.6809859340000001,4.7799999999999996e-05,0.6324096365441999,2.048669919887079e-05,-0.9445640626878834,3.93140168954629e-11,,,-0.6999297569866714,2.377084209836196e-05
45,Bulgaria,-0.7684221790000001,7.05e-08,1980,2014,35,,0,35,0.9667168346197168,2.5810100497930617e-16,-0.8441228989794134,3.1484381684462805e-08,-0.7248850090000001,1.83e-06,-0.9206921020000001,7.23e-16,-0.8257807309999999,0.003247545,0.6739372920000001,8.44e-05,0.8422558558905614,3.3901440469948414e-11,,,0.732159945,1.42e-05,-0.8902441599568899,2.2755437421265328e-10
46,Luxembourg,-0.778370032,1.42e-08,1979,2015,37,,0,37,0.8285483376258564,9.469626373971565e-08,0.12174842955695578,0.5452150028470357,0.736053244,1.05e-06,-0.8164587609999999,4.14e-10,-0.429190585,0.143329735,-0.821657027,4.67e-08,,1.0,-0.7904670143341375,9.316917045115959e-07,-0.7694822809999999,2.72e-06,-0.2059661437396981,0.283756776007818
47,Lithuania,-0.17545213399999998,0.320947352,1981,2016,36,,2,34,0.8938473357964275,3.4225449059011316e-10,-0.4230603111471484,0.02790033436901396,0.108576028,0.547537266,-0.93460082,1.97e-10,-0.116807855,0.7039261990000001,0.262080469,0.16179104,0.4404242028227533,0.005652533132487463,-0.9614037183373364,1.12879212710142e-12,0.398377035,0.039574878,-0.30242358399235303,0.10430070704379912
48,Azerbaijan,-0.78057724,1.11e-05,1981,2007,27,,4,23,0.3494167826592515,0.2017485311871213,0.07728177270576829,0.784274144763011,0.652564872,0.000406965,0.335762529,0.221141013,0.501683792,0.389146616,-0.738661012,0.00019951,-0.932851911584908,1.5397552689522284e-17,,,,,-0.2603331853877208,0.2676320801674625
49,Singapore,-0.7816564540000001,1.1200000000000001e-08,1979,2015,37,,0,37,0.7458759541454212,7.982684890738499e-06,-0.8272270107803209,1.0344487025060707e-07,0.7110778529999999,3.52e-06,-0.780042645,7.79e-09,,,0.704560455,1.99e-05,-0.8175390855645892,3.7542539303656716e-10,,,0.125898079,0.531493341,-0.5561989512134085,0.0017300463071454359
50,Mauritius,-0.082324466,0.6331298670000001,1981,2016,36,,0,36,0.6581656942939449,0.00019021771131973536,-0.8000653635975854,5.483537412577101e-07,0.15883552,0.377299996,-0.166519826,0.324606887,-1.0,0.0,0.789104037,2.2e-07,-0.06891800743843522,0.680972232200306,,,0.428109132,0.025896673999999998,-0.7299658522702509,4.695076363916111e-06
51,Mongolia,,,2016,2016,1,,0,1,9.031995802855204e-16,1.0,-2.3138746134317104e-15,1.0,,1.0,6.17e-17,1.0,-8.35e-16,1.0,,,,,,,,,,
52,Venezuela (Bolivarian Republic of),-0.809870098,1.97e-08,1979,2013,35,,3,32,-0.20620318003801735,0.3021162353321372,-0.8874700315690933,6.84834297304897e-10,0.660017657,2.9299999999999997e-05,-0.8805730279999999,1.4400000000000001e-12,-0.127946578,0.677004224,0.8053820620000001,1.2e-06,,,,,,,-0.8802359263283926,6.622686414212315e-09
53,New Zealand,0.064622211,0.71226818,1979,2013,35,,0,35,0.5505616696652141,0.002922589598738308,0.38659883259882816,0.046371967960204534,-0.044140045999999995,0.8073029,-0.052599552,0.753801196,,,0.7439628159999999,8.67e-06,0.022668914600816586,0.8925409218132213,-0.6130637320716678,0.0006738783002337607,0.440003902,0.021634731,-0.7763397224057947,1.9384257474615337e-06
54,Belgium,-0.8170117720000001,6.92e-10,1979,2015,37,,0,37,-0.7198282959801577,2.311241641470771e-05,0.08769130778457176,0.6636089936575658,0.64784885,4.5799999999999995e-05,-0.838337514,5.1000000000000005e-11,0.39762275,0.178472032,-0.6919705829999999,3.21e-05,,1.0,-0.4704123558610749,0.013278191567395544,0.31330641600000003,0.111538198,-0.7244577802588232,8.8487489009318e-06
55,Oman,-0.989743319,0.09125789699999999,2009,2014,6,,3,3,0.5861500082042086,0.0013141214743490153,-0.8481848746933577,2.316413694701509e-08,0.699152324,6e-06,-0.8643390879999999,2.72e-12,,,-0.997102893,0.048471034,,,,,,,-0.8559208456085147,0.3459820532517476
56,Uzbekistan,-0.825262422,3.62e-08,1981,2014,34,,5,29,0.8334675520821757,6.769679280774306e-08,-0.7217293541687932,2.1472295843151284e-05,0.21404631899999998,0.231651839,-0.552353023,0.00281319,0.42347578,0.57652422,-0.513727442,0.008620309,-0.8733120042735333,8.557245839582083e-13,,,-0.247743436,0.21278907,0.2513802962828245,0.2254606311445215
57,Sri Lanka,-0.839061253,4.85e-05,1980,2006,27,,11,16,0.9136391881154496,2.896880695126635e-11,-0.7167067744306354,2.604859191966135e-05,0.929160964,6.1e-15,-0.833051742,8.689999999999999e-11,-0.887214377,0.003290194,0.8642403670000001,0.002651401,-0.9282496675723992,4.8872049042455476e-17,,,,,-0.8747954112481791,0.0020189394880497547
58,Republic of Moldova,-0.842278504,4.24e-10,1981,2016,36,,2,34,0.6854520982191415,7.962163908656399e-05,-0.4085980218215318,0.034341957238062056,0.6923160340000001,8.06e-06,-0.663788334,0.000756275,,,-0.314627421,0.090384676,,,,,,,-0.3060857428650783,0.09996605089379976
